주성분코드,성분명,제형,id
100101AGN,상황균사체엑스,"과립제,세립 ",1
100101ALQ,상황균사체엑스,액제 ,2
100101APD,phellinus linteus mycelliun ext.,산제 ,3
100102ACH,phellinus linteus mycelliun ext.,경질캡슐제 ,4
100102ALQ,phellinus linteus mycelliun ext.,액제 ,5
100130ALQ,phellinus linteus mycelliun ext.,액제 ,6
100201BIJ,인과립구 대식세포 콜로니자극인자,주사제 ,7
100202BIJ,인과립구 대식세포 콜로니자극인자,주사제 ,8
100301ACH,magnesium trihydrate salt of chenodesoxycholic acid and ursodesoxycholic acid,경질캡슐제 ,9
100401BIJ,abciximab,주사제 ,10
100402BIJ,abciximab,주사제 ,11
100430BIJ,abciximab,주사제 ,12
100431BIJ,abciximab,주사제 ,13
100501ATB,acamprosate,"정제,저작정 ",14
100501ATE,acamprosate,장용정제 ,15
100601ATB,acarbose,"정제,저작정 ",16
100602ATB,acarbose,"정제,저작정 ",17
100701ACH,acebrophylline,경질캡슐제 ,18
100702ATR,acebrophylline,서방형정제 ,19
100801ACH,acebutolol HCl,경질캡슐제 ,20
100802ATB,acebutolol HCl,"정제,저작정 ",21
100901ACH,aceclofenac,경질캡슐제 ,22
100901ACS,aceclofenac,연질캡슐제 ,23
100901ATB,aceclofenac,"정제,저작정 ",24
100901ATR,aceclofenac,서방형정제 ,25
100902ACH,aceclofenac,경질캡슐제 ,26
100903ATR,aceclofenac,서방형정제 ,27
101001ACH,acemetacin,경질캡슐제 ,28
101101AEL,acepifyline,엘릭서제 ,29
101102ATB,acepifylline,"정제,저작정 ",30
101201COM,acetamidocaproic acid,연고제 ,31
101301AEL,acetaminophen,엘릭서제 ,32
101302CLQ,acetaminophen,액제 ,33
101302CSP,acetaminophen,좌제 ,34
101303ACH,acetaminophen,경질캡슐제 ,35
101303ATB,acetaminophen,"정제,저작정 ",36
101304AEL,acetaminophen,엘릭서제 ,37
101304ALQ,acetaminophen,액제 ,38
101304ASS,acetaminophen,"현탁액제,현탁액용정제,현탁액용산제 ",39
101305ACH,acetaminophen,경질캡슐제 ,40
101305ACS,acetaminophen,연질캡슐제 ,41
101305APD,acetaminophen,산제 ,42
101305ATB,acetaminophen,"정제,저작정 ",43
101306ATB,acetaminophen,"정제,저작정 ",44
101307ATB,acetaminophen,"정제,저작정 ",45
101308BIJ,acetaminophen,주사제 ,46
101309APD,acetaminophen,산제 ,47
101309ATB,acetaminophen,"정제,저작정 ",48
101309BIJ,acetaminophen,주사제 ,49
101310ASY,acetaminophen,"시럽제,건조시럽 ",50
101311ACS,acetaminophen,연질캡슐제 ,51
101330ALQ,acetaminophen,액제 ,52
101330ASS,acetaminophen,"현탁액제,현탁액용정제,현탁액용산제 ",53
101331ALQ,acetaminophen,액제 ,54
101332ASY,acetaminophen,"시럽제,건조시럽 ",55
101333BIJ,acetaminophen,주사제 ,56
101334ASS,acetaminophen,"현탁액제,현탁액용정제,현탁액용산제 ",57
101335BIJ,acetaminophen,주사제 ,58
101336BIJ,acetaminophen,주사제 ,59
101337ASY,acetaminophen,"시럽제,건조시럽 ",60
101338ASY,acetaminophen,"시럽제,건조시럽 ",61
101339ASY,acetaminophen,"시럽제,건조시럽 ",62
101401ATB,acetaminophen(encapsulated),"정제,저작정 ",63
