제품코드,특정연령,특정연령단위,연령처리조건,상세정보
651904740,65,세 (3),이상 (4),65세 이상에서 안전성 및 유효성 미확립. 연령이 높아질수록 신장기능이 저하되어 이 약이 축적될 수 있음.
657201040,65,세 (3),이상 (4),65세 이상에서 안전성 및 유효성 미확립. 연령이 높아질수록 신장기능이 저하되어 이 약이 축적될 수 있음.
652100060,18,세 (3),이하 (2),안전성 및 유효성 미확립
652100050,18,세 (3),이하 (2),안전성 및 유효성 미확립
642204320,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
622803650,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
628801440,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
642202200,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
643306670,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
643501510,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
645301160,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
645700850,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
649602230,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
650205720,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
652901880,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
657308190,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
657801970,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
661901710,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
665002340,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
670301800,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
670501910,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
672300240,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
693201820,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
698003380,12,세 (3),미만 (1),"소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의. 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음"
644801350,2,세 (3),미만 (1),안전성 및 유효성 미확립
647201030,2,세 (3),미만 (1),안전성 및 유효성 미확립
690302390,2,세 (3),미만 (1),안전성 및 유효성 미확립
652400751,12,세 (3),미만 (1),"심각한 전신 부작용 위험이 있음. 조산아, 영아, 다운증후군, 강직마비 또는 뇌손상 어린이는 이 약의 전신흡수에 따른 중추신경계 장애, 심폐 및 위장관 독성에 감수성이 있음"
54801070,6,세 (3),이하 (2),안전성 및 유효성 미확립
57000830,6,세 (3),이하 (2),안전성 및 유효성 미확립
59000050,6,세 (3),이하 (2),안전성 및 유효성 미확립
60500130,6,세 (3),이하 (2),안전성 및 유효성 미확립
73001200,6,세 (3),이하 (2),안전성 및 유효성 미확립
622801370,6,세 (3),이하 (2),안전성 및 유효성 미확립
625200110,6,세 (3),이하 (2),안전성 및 유효성 미확립
625500240,6,세 (3),이하 (2),안전성 및 유효성 미확립
628800120,6,세 (3),이하 (2),안전성 및 유효성 미확립
628900920,6,세 (3),이하 (2),안전성 및 유효성 미확립
640900520,6,세 (3),이하 (2),안전성 및 유효성 미확립
642200800,6,세 (3),이하 (2),안전성 및 유효성 미확립
643104130,6,세 (3),이하 (2),안전성 및 유효성 미확립
643203120,6,세 (3),이하 (2),안전성 및 유효성 미확립
644302130,6,세 (3),이하 (2),안전성 및 유효성 미확립
644806370,6,세 (3),이하 (2),안전성 및 유효성 미확립
645208490,6,세 (3),이하 (2),안전성 및 유효성 미확립
646201330,6,세 (3),이하 (2),안전성 및 유효성 미확립
647204880,6,세 (3),이하 (2),안전성 및 유효성 미확립
648101390,6,세 (3),이하 (2),안전성 및 유효성 미확립
648601220,6,세 (3),이하 (2),안전성 및 유효성 미확립
649001440,6,세 (3),이하 (2),안전성 및 유효성 미확립
649102960,6,세 (3),이하 (2),안전성 및 유효성 미확립
649401470,6,세 (3),이하 (2),안전성 및 유효성 미확립
652904200,6,세 (3),이하 (2),안전성 및 유효성 미확립
654001310,6,세 (3),이하 (2),안전성 및 유효성 미확립
654301820,6,세 (3),이하 (2),안전성 및 유효성 미확립
656000740,6,세 (3),이하 (2),안전성 및 유효성 미확립
657302720,6,세 (3),이하 (2),안전성 및 유효성 미확립
658107190,6,세 (3),이하 (2),안전성 및 유효성 미확립
658202740,6,세 (3),이하 (2),안전성 및 유효성 미확립
658603710,6,세 (3),이하 (2),안전성 및 유효성 미확립
660700830,6,세 (3),이하 (2),안전성 및 유효성 미확립
661904370,6,세 (3),이하 (2),안전성 및 유효성 미확립
663601280,6,세 (3),이하 (2),안전성 및 유효성 미확립
664901290,6,세 (3),이하 (2),안전성 및 유효성 미확립
665001890,6,세 (3),이하 (2),안전성 및 유효성 미확립
665502010,6,세 (3),이하 (2),안전성 및 유효성 미확립
669500380,6,세 (3),이하 (2),안전성 및 유효성 미확립
669802470,6,세 (3),이하 (2),안전성 및 유효성 미확립
669906050,6,세 (3),이하 (2),안전성 및 유효성 미확립
671701190,6,세 (3),이하 (2),안전성 및 유효성 미확립
689000490,6,세 (3),이하 (2),안전성 및 유효성 미확립
693200750,6,세 (3),이하 (2),안전성 및 유효성 미확립
693902360,6,세 (3),이하 (2),안전성 및 유효성 미확립
694003100,6,세 (3),이하 (2),안전성 및 유효성 미확립
698500310,6,세 (3),이하 (2),안전성 및 유효성 미확립
643200970,10,세 (3),이하 (2),안전성 및 유효성 미확립
651900600,3,세 (3),미만 (1),생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것
657201020,3,세 (3),미만 (1),생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것
651900610,3,세 (3),미만 (1),생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것
657201030,3,세 (3),미만 (1),생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것
626900610,18,세 (3),미만 (1),
627600250,18,세 (3),미만 (1),
640003750,18,세 (3),미만 (1),
641801720,18,세 (3),미만 (1),
643302750,18,세 (3),미만 (1),
647802590,18,세 (3),미만 (1),
648503130,18,세 (3),미만 (1),
650700510,18,세 (3),미만 (1),
652601490,18,세 (3),미만 (1),
658601260,18,세 (3),미만 (1),
671806090,18,세 (3),미만 (1),
643305110,18,세 (3),미만 (1),
624900511,2,세 (3),미만 (1),"안전성 및 유효성 미확립. 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨"
