제품코드,일일최대투여량,일일최대투여기준량,용량주의_상세내용
645906290,로수바스타틴 20mg,20.0,
693901510,올메사르탄메독소밀 40mg,40.0,
647805260,"메트포르민2,000mg/빌다글립틴 100mg",100.0,
650205830,"메트포르민2,000mg/빌다글립틴 100mg",100.0,
53601680,"메트포르민2,000mg/빌다글립틴 100mg",100.0,
644309660,"메트포르민2,000mg/빌다글립틴 100mg",100.0,
642204090,프레가발린 600mg,600.0,
663607070,프레가발린 600mg,600.0,
642204100,프레가발린 600mg,600.0,
693901930,로사르탄칼륨 100mg,100.0,
641501820,록소프로펜나트륨 180mg,180.0,
665002081,트라마돌염산염 400mg,400.0,
653403670,에스암로디핀 5mg,5.0,
669804810,로수바스타틴 20mg,20.0,
649507260,로수바스타틴 20mg,20.0,
652100640,졸피뎀타르타르산염 10mg,10.0,
652601470,가바펜틴 3600mg,3600.0,
643300030,가바펜틴 3600mg,3600.0,
643700900,가바펜틴 3600mg,3600.0,
642900470,가바펜틴 3600mg,3600.0,
656003910,가바펜틴 3600mg,3600.0,
646005150,피오글리타존 30mg,30.0,
646005160,피오글리타존 30mg,30.0,
664900690,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
664900690,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
641801210,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
641801210,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
643303210,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
643303210,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
645604410,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
645604410,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
643202380,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
