제품코드,품목기준코드,제품명,업체코드,주성분코드
645302132,198902804.0,포크랄시럽(포수클로랄)_(9.5g/95mL),471.0,130830ASY
645302133,198902804.0,포크랄시럽(포수클로랄)_(1g/10mL),471.0,130832ASY
645302135,198902804.0,포크랄시럽(포수클로랄)_(0.5g/5mL),471.0,130833ASY
651904420,201604511.0,명세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),245.0,149203ATB
640006660,201310842.0,사일레노정3밀리그램(독세핀염산염)_(3.39mg/1정),321.0,149203ATB
653006890,202301840.0,파마독세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),154.0,149203ATB
651904430,201604510.0,명세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),245.0,149204ATB
640006770,201310841.0,사일레노정6밀리그램(독세핀염산염)_(6.78mg/1정),321.0,149204ATB
653006900,202301841.0,파마독세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),154.0,149204ATB
651900330,198501814.0,루나팜정(플루니트라제팜)_(1mg/1정),245.0,160601ATB
657200130,198301310.0,라제팜정(플루니트라제팜)_(1mg/1정),483.0,160601ATB
642800250,199907280.0,달마돔정(플루라제팜염산염)_(15mg/1정),198.0,161801ATB
657802870,197000212.0,하나페노바르비탈정_(30mg/1정),415.0,211701ATB
657202920,201605409.0,트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),483.0,243501ATB
651901770,198902801.0,졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),245.0,243501ATB
657200830,198902794.0,트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),483.0,243502ATB
651901780,198902802.0,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),245.0,243502ATB
651901790,200710013.0,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),245.0,250501ATB
649806810,201406022.0,스틸렉스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),243.0,250501ATB
657200670,200512142.0,졸피람정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),483.0,250501ATB
653003460,200606261.0,파마주석산졸피뎀정(졸피뎀타르타르산염)_(10mg/1정),154.0,250501ATB
668100180,200704597.0,산도스졸피뎀정10mg(주석산졸피뎀)_(10mg/1정),429.0,250501ATB
652100640,200700634.0,스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),160.0,250501ATB
642801200,200606262.0,졸피움정(졸피뎀타르타르산염)_(10mg/1정),198.0,250501ATB
643502320,200410861.0,졸피드정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),472.0,250501ATB
