,제품코드,ATC코드,규격,단위,상한금액,전일,급여여부
0,645302132,N05CC01,95(1),mL/병,129,전문,1
1,645302133,N05CC01,10,mL/병,1260,전문,1
2,645302135,N05CC01,5,mL/병,847,전문,1
3,651904420,N05CM,1,정,96,전문,1
4,640006660,N05CM,1,정,97,전문,1
5,653006890,N05CM,1,정,97,전문,1
6,651904430,N05CM,1,정,110,전문,1
7,640006770,N05CM,1,정,110,전문,1
8,653006900,N05CM,1,정,110,전문,1
9,651900330,N05CD03,1,정,59,전문,1
10,657200130,N05CD03,1,정,60,전문,1
11,642800250,N05CD01,1,정,43,전문,1
12,657802870,N03AA02,1,정,32,전문,1
13,657202920,N05CD05,1,정,71,전문,1
14,651901770,N05CD05,1,정,73,전문,1
15,657200830,N05CD05,1,정,121,전문,1
16,651901780,N05CD05,1,정,121,전문,1
17,651901790,N05CF02,1,정,122,전문,1
18,649806810,N05CF02,1,정,148,전문,1
19,657200670,N05CF02,1,정,154,전문,1
20,653003460,N05CF02,1,정,159,전문,1
21,668100180,N05CF02,1,정,169,전문,1
22,652100640,N05CF02,1,정,173,전문,1
23,642801200,N05CF02,1,정,173,전문,1
24,643502320,N05CF02,1,정,174,전문,1
25,649507420,N05CF02,1,정,174,전문,1
26,651904470,N05CF02,1,정,97,전문,1
27,643507160,N05CF02,1,정,116,전문,1
28,649507410,N05CF02,1,정,116,전문,1
29,652100660,N05CF02,1,정,319,전문,1
30,652100650,N05CF02,1,정,321,전문,1
31,642404880,N05CF04,1,정,70,전문,1
32,651904900,N05CF04,1,정,70,전문,1
33,670608170,N05CF04,1,정,70,전문,1
34,642404890,N05CF04,1,정,87,전문,1
35,651904910,N05CF04,1,정,87,전문,1
36,670608180,N05CF04,1,정,87,전문,1
37,642404900,N05CF04,1,정,109,전문,1
38,651904920,N05CF04,1,정,109,전문,1
39,670608190,N05CF04,1,정,109,전문,1
40,642204620,N05CF03,1,캡슐,102,전문,1
41,642204630,N05CF03,1,캡슐,153,전문,1
42,653601111,N03AF01,100(1),mL/병,28,전문,1
43,651901860,N03AF01,1,정,99,전문,1
44,653601130,N03AF01,1,정,172,전문,1
45,653001520,N03AF01,1,정,95,전문,1
46,657200530,N03AF01,1,정,127,전문,1
47,649802760,N03AF01,1,정,129,전문,1
48,651901840,N03AF01,1,정,142,전문,1
49,653601120,N03AF01,1,정,191,전문,1
50,642201050,N03AF01,1,정,158,전문,1
51,651901850,N03AF01,1,정,176,전문,1
52,657202690,N03AE01,1,정,36,전문,1
53,643308800,N03AE01,1,정,36,전문,1
54,642201070,N03AB02,1,캡슐,41,전문,1
55,651900910,N03AB02,1,정,41,전문,1
56,657201120,N03AB02,1,정,41,전문,1
57,653006930,N03AG01,1,정,157,전문,1
58,644200080,N03AG01,1,정,184,전문,1
59,653006910,N03AG01,1,정,232,전문,1
60,644200090,N03AG01,1,정,273,전문,1
61,644200100,N03AG01,1,캡슐,192,전문,1
62,661904040,N03AD01,1,캡슐,857,전문,1
63,647800210,N02BF01,1,캡슐,144,전문,1
64,656702070,N02BF01,1,캡슐,160,전문,1
65,652601470,N02BF01,1,캡슐,163,전문,1
66,646004290,N02BF01,1,캡슐,163,전문,1
67,643300030,N02BF01,1,캡슐,167,전문,1
68,642003570,N02BF01,1,캡슐,168,전문,1
69,678600850,N02BF01,1,캡슐,168,전문,1
70,671706140,N02BF01,1,캡슐,168,전문,1
71,677100500,N02BF01,1,캡슐,168,전문,1
72,644603330,N02BF01,1,캡슐,168,전문,1
73,645208810,N02BF01,1,캡슐,168,전문,1
74,625201160,N02BF01,1,캡슐,168,전문,1
75,661604560,N02BF01,1,캡슐,168,전문,1
76,621802910,N02BF01,1,캡슐,168,전문,1
77,647204990,N02BF01,1,캡슐,168,전문,1
78,669502310,N02BF01,1,캡슐,168,전문,1
79,669805100,N02BF01,1,캡슐,168,전문,1
80,647303620,N02BF01,1,캡슐,168,전문,1
81,649104240,N02BF01,1,캡슐,168,전문,1
82,628901170,N02BF01,1,캡슐,168,전문,1
83,665507070,N02BF01,1,캡슐,168,전문,1
84,629701550,N02BF01,1,캡슐,168,전문,1
85,55101140,N02BF01,1,캡슐,168,전문,1
86,669907460,N02BF01,1,캡슐,168,전문,1
87,658107490,N02BF01,1,캡슐,168,전문,1
88,58200440,N02BF01,1,캡슐,168,전문,1
89,648604030,N02BF01,1,캡슐,168,전문,1
90,641907530,N02BF01,1,캡슐,168,전문,1
91,674402090,N02BF01,1,캡슐,168,전문,1
92,679601320,N02BF01,1,캡슐,168,전문,1
93,54800950,N02BF01,1,캡슐,168,전문,1
94,660703470,N02BF01,1,캡슐,168,전문,1
95,622804270,N02BF01,1,캡슐,168,전문,1
96,657503660,N02BF01,1,캡슐,168,전문,1
97,670502180,N02BF01,1,캡슐,168,전문,1
98,60500300,N02BF01,1,캡슐,168,전문,1
99,73000930,N02BF01,1,캡슐,168,전문,1
100,59001210,N02BF01,1,캡슐,168,전문,1
101,643700900,N02BF01,1,캡슐,181,전문,1
102,642900470,N02BF01,1,캡슐,181,전문,1
103,642800030,N02BF01,1,캡슐,186,전문,1
104,642500370,N02BF01,1,캡슐,192,전문,1
105,73400450,N02BF01,1,캡슐,192,전문,1
106,657200060,N02BF01,1,캡슐,194,전문,1
107,643500010,N02BF01,1,캡슐,196,전문,1
108,656003910,N02BF01,1,캡슐,198,전문,1
109,694000960,N02BF01,1,캡슐,198,전문,1
110,657800080,N02BF01,1,캡슐,198,전문,1
111,693902110,N02BF01,1,캡슐,198,전문,1
112,670100070,N02BF01,1,캡슐,198,전문,1
113,656204520,N02BF01,1,캡슐,198,전문,1
114,649502220,N02BF01,1,캡슐,198,전문,1
115,670301470,N02BF01,1,캡슐,198,전문,1
116,653002670,N02BF01,1,캡슐,198,전문,1
117,651300660,N02BF01,1,캡슐,198,전문,1
118,652904160,N02BF01,1,캡슐,198,전문,1
119,658604190,N02BF01,1,캡슐,198,전문,1
120,657300010,N02BF01,1,캡슐,292,전문,1
121,642003590,N02BF01,1,캡슐,346,전문,1
122,656700140,N02BF01,1,캡슐,346,전문,1
123,658200090,N02BF01,1,캡슐,346,전문,1
124,678600860,N02BF01,1,캡슐,346,전문,1
125,671706150,N02BF01,1,캡슐,346,전문,1
126,621801130,N02BF01,1,캡슐,346,전문,1
127,644801930,N02BF01,1,캡슐,346,전문,1
128,648602860,N02BF01,1,캡슐,346,전문,1
129,649102080,N02BF01,1,캡슐,346,전문,1
130,644603290,N02BF01,1,캡슐,346,전문,1
131,693201330,N02BF01,1,캡슐,346,전문,1
132,625800340,N02BF01,1,캡슐,346,전문,1
133,645604580,N02BF01,1,캡슐,346,전문,1
134,625200390,N02BF01,1,캡슐,346,전문,1
135,649601090,N02BF01,1,캡슐,346,전문,1
136,674400660,N02BF01,1,캡슐,346,전문,1
137,661604550,N02BF01,1,캡슐,346,전문,1
138,661904150,N02BF01,1,캡슐,346,전문,1
139,647205000,N02BF01,1,캡슐,346,전문,1
140,669502300,N02BF01,1,캡슐,346,전문,1
141,628901080,N02BF01,1,캡슐,346,전문,1
142,647303610,N02BF01,1,캡슐,346,전문,1
143,665507080,N02BF01,1,캡슐,346,전문,1
144,629701540,N02BF01,1,캡슐,346,전문,1
145,693902960,N02BF01,1,캡슐,346,전문,1
146,55101160,N02BF01,1,캡슐,346,전문,1
147,669907470,N02BF01,1,캡슐,346,전문,1
148,628801490,N02BF01,1,캡슐,346,전문,1
