제품코드,최대투여기간일수,주성분함량
652100640,28,10mg
649802851,2,30mg/mL
643506111,21,0.1716g/mL
645403611,21,0.1716g/mL
649805481,21,0.1716g/mL
646003661,21,0.1716g/mL
650302861,21,0.1716g/mL
657305761,21,0.1716g/mL
669804141,21,0.1716g/mL
670500703,21,0.1716g/mL
645604041,21,0.1716g/mL
648506691,21,0.1716g/mL
649506101,21,0.1716g/mL
651203671,21,0.1716g/mL
663605031,21,0.1716g/mL
643306181,21,0.1716g/mL
698502191,21,0.1716g/mL
656003181,21,0.1716g/mL
642904291,21,0.1716g/mL
650302862,21,0.1716g/mL
657804821,21,0.1716g/mL
648602451,21,0.1716g/mL
663605032,21,0.1716g/mL
698503190,21,20mg
653801130,5,3.84mg
642701320,5,3.84mg
671806880,21,20mg
674401470,21,20mg
694002250,21,20mg
643502320,28,10mg
650303520,21,20mg
663601070,21,5mg/120mg
693201800,21,20mg
658603680,21,20mg
654004870,21,20mg
628801300,21,20mg
647204890,21,20mg
642003860,21,20mg
667400811,3,10mg/mL
657801710,14,50mg
643506740,21,2.5mg/120mg
647801170,21,5mg/120mg
642203230,21,5mg/120mg
622800110,21,5mg/120mg
640901100,21,5mg/120mg
693200930,21,5mg/120mg
647200670,15,0.1g
652903860,21,20mg
649507420,28,10mg
644003191,21,0.1716g/mL
669905561,21,0.1716g/mL
645702483,21,0.1716g/mL
664900923,21,0.1716g/mL
644102061,21,0.1716g/mL
670303421,21,0.1716g/mL
649604161,21,0.1716g/mL
653402551,21,0.1716g/mL
640902341,21,0.1716g/mL
651503331,21,0.1716g/mL
650902071,3,10mg/mL
651601165,21,0.1716g/mL
651601168,21,0.1716g/mL
669804630,21,20mg
648507440,21,20mg
651204340,21,20mg
643306810,21,20mg
651601630,21,20mg
649102710,21,20mg
668902891,12,600I.U
668902191,12,75I.u
657805870,21,20mg
648102001,2,30mg/mL
642305011,2,30mg/mL
658603171,2,30mg/mL
656004000,21,20mg
670607290,21,20mg
649604570,21,20mg
640903180,21,20mg
645404370,21,20mg
649806910,21,20mg
650902041,3,10mg/mL
644308830,21,20mg
646004040,21,20mg
642802820,21,20mg
651904970,30,15mg
649806741,3,10mg/mL
690302420,21,20mg
653006320,21,20mg
665507731,2,30mg/mL
649507410,28,5mg
643507160,28,5mg
670304340,21,20mg
648603951,2,30mg/mL
663606660,21,20mg
622804030,21,20mg
657307300,21,20mg
628901450,21,20mg
647205421,21,0.1716g/mL
665002620,21,20mg
678600440,21,20mg
657200821,2,30mg/mL
667400821,3,10mg/mL
642801200,28,10mg
644004070,21,20mg
698502192,21,0.1716g/mL
655402901,21,0.1716g/mL
644309290,21,20mg
670304200,21,2.5mg/120mg
665507370,21,20mg
649104491,21,0.1716g/mL
662504220,21,20mg
645604890,21,20mg
653403190,21,20mg
650900131,21,0.2g/mL
658106710,21,20mg
644103230,21,20mg
648104290,21,20mg
694205150,21,20mg
652001341,4,20mg/mL
651504090,21,20mg
640006800,28,0.6g
667400800,7,"0.1g/mL, 20mg/mL, 80mg/mL"
59000360,21,20mg
648603840,21,20mg
59000681,2,30mg/mL
651901770,21,0.125mg
648901230,21,0.125mg
657200830,21,0.25mg
651901780,21,0.25mg
648901240,21,0.25mg
644503110,21,20mg
644503133,21,0.1716g/mL
641500410,21,5mg/120mg
74200080,7,10mg
668900251,12,150I.U
668900241,12,75I.U
670103251,21,0.1716g/mL
668901550,7,34.3mg/매
641905900,5,0.1mg
653400910,7,10mg
657801801,2,30mg/mL
649602011,2,30mg/mL
647804481,2,30mg/mL
694800091,2,30mg/mL
645902651,2,30mg/mL
646002281,2,30mg/mL
644902540,15,0.1g
645203701,21,0.1716g/mL
648901311,35,0.1g
680900230,5,0.1mg
657804810,5,0.1mg
657804561,3,10mg/mL
657804571,3,10mg/mL
653403541,3,10mg/mL
649805211,3,10mg/mL
671805073,3,10mg/mL
653402351,3,10mg/mL
657804591,3,10mg/mL
642403870,28,0.6g
648900710,28,0.6g
642404000,28,0.3g
648900721,28,2mg/mL
640006621,28,2mg/mL
643704000,21,20mg
649806731,3,10mg/mL
650901871,3,10mg/mL
671805661,3,10mg/mL
649805221,3,10mg/mL
653402371,3,10mg/mL
671805083,3,10mg/mL
650901851,3,10mg/mL
657804611,3,10mg/mL
649805231,3,10mg/mL
671805092,3,10mg/mL
653402331,3,10mg/mL
650901861,3,10mg/mL
650901841,3,20mg/mL
671805811,3,20mg/mL
657202920,21,0.125mg
651901790,28,10mg
657200670,28,10mg
653003460,28,10mg
649806810,28,10mg
668100180,28,10mg
651904470,28,5mg
652100660,28,6.25mg
652100650,28,12.5mg
647804340,21,20mg
647803622,21,0.1716g/mL
647803621,21,0.1716g/mL
649900290,30,15mg
649900300,30,30mg
643104540,21,20mg
658202830,21,20mg
671704660,21,20mg
658202481,21,0.1716g/mL
671703461,21,0.1716g/mL
693902710,21,20mg
671807510,30,15mg
671807520,30,30mg
651905210,30,30mg
644308281,21,0.1716g/mL
653403581,3,10mg/mL
650902091,3,10mg/mL
653403551,3,10mg/mL
653402361,3,10mg/mL
653402291,3,10mg/mL
667400841,3,10mg/mL
650902121,3,10mg/mL
653402341,3,10mg/mL
650902131,3,20mg/mL
667400790,7,"0.1g/mL, 20mg/mL, 80mg/mL"
667400781,7,"0.1g/mL, 20mg/mL, 80mg/mL"
657805751,3,10mg/mL
644102430,28,15mg
652604900,28,15mg
670606670,28,15mg
669905860,28,15mg
641805180,28,15mg
652604870,28,30mg
698001380,28,30mg
671803320,28,30mg
669801040,28,30mg
641601120,28,30mg
670100310,28,30mg
671701310,28,30mg
645202640,28,30mg
641601110,28,30mg
654800890,28,30mg
658200310,28,30mg
645603900,28,30mg
663603190,28,30mg
644100640,28,30mg
644600690,28,30mg
622802050,28,30mg
652901440,28,30mg
644802840,28,30mg
628800800,28,30mg
649500530,28,30mg
646001540,28,30mg
649800430,28,30mg
642902420,28,30mg
669904160,28,30mg
649402670,28,30mg
670603980,28,30mg
651902290,28,30mg
643101910,28,30mg
641802050,28,30mg
652500271,12,75I.U
652500311,12,600I.U
641801570,28,1mg
698001390,28,35mg
670102080,28,35mg
657802840,28,35mg
671701750,28,35mg
658200200,28,35mg
654800080,28,35mg
645203630,28,35mg
652903160,28,35mg
663603200,28,35mg
644101260,28,35mg
669803310,28,35mg
644802850,28,35mg
669904170,28,35mg
646202160,28,35mg
649400210,28,35mg
670602380,28,35mg
641802190,28,35mg
649803390,28,35mg
653001360,28,35mg
671803300,28,35mg
643101900,28,35mg
644600840,28,35mg
652604860,28,35mg
642204430,28,30mg
653801170,7,5mg
652606270,28,17.5mg
670607630,28,17.5mg
698003160,28,25mg
649104390,28,25mg
52401900,28,25mg
653006570,28,25mg
622802310,28,25mg
652604880,28,25mg
644600740,28,25mg
644801400,28,25mg
670601800,28,25mg
649800420,28,25mg
643100130,28,25mg
645605660,5,0.1mg
696300570,56,20mg
696300560,56,10mg
625900141,10,0.1g/btl
657401641,7,0.3333mg/mL
644206480,7,100mg
642902551,7,"5mg/mL, 0.132g/mL, 2mg/mL"
644206381,7,10mg/g
644206371,7,10mg/g
650901951,28,0.1g/mL
650901952,28,0.1g/mL
642801121,56,11.7mg/g
642405130,7,0.1g
