제품코드,효능군중복_효능군,효능군중복_Group
652100060,당뇨병용제 (H),Group03
652100050,당뇨병용제 (H),Group03
52401220,호흡기관용약 (G),Group04
54801220,호흡기관용약 (G),Group04
73000090,호흡기관용약 (G),Group04
622803310,호흡기관용약 (G),Group04
628901700,호흡기관용약 (G),Group04
640902270,호흡기관용약 (G),Group04
642000540,호흡기관용약 (G),Group04
642400580,호흡기관용약 (G),Group04
642701870,호흡기관용약 (G),Group04
643104140,호흡기관용약 (G),Group04
645209960,호흡기관용약 (G),Group04
646203740,호흡기관용약 (G),Group04
646800670,호흡기관용약 (G),Group04
647801510,호흡기관용약 (G),Group04
648200990,호흡기관용약 (G),Group04
649002130,호흡기관용약 (G),Group04
649102320,호흡기관용약 (G),Group04
649405310,호흡기관용약 (G),Group04
650205580,호흡기관용약 (G),Group04
651602310,호흡기관용약 (G),Group04
652604720,호흡기관용약 (G),Group04
653403640,호흡기관용약 (G),Group04
654300240,호흡기관용약 (G),Group04
655404300,호흡기관용약 (G),Group04
657200380,호흡기관용약 (G),Group04
657307390,호흡기관용약 (G),Group04
658501890,호흡기관용약 (G),Group04
660702310,호흡기관용약 (G),Group04
661305330,호흡기관용약 (G),Group04
661904130,호흡기관용약 (G),Group04
665507570,호흡기관용약 (G),Group04
669804180,호흡기관용약 (G),Group04
670401290,호흡기관용약 (G),Group04
670601460,호흡기관용약 (G),Group04
674402140,호흡기관용약 (G),Group04
678601380,호흡기관용약 (G),Group04
693202270,호흡기관용약 (G),Group04
693902650,호흡기관용약 (G),Group04
694000550,호흡기관용약 (G),Group04
642004070,호흡기관용약 (G),Group04
648101510,해열진통소염제 (A),Group01
644304150,해열진통소염제 (A),Group01
52400690,해열진통소염제 (A),Group01
52700370,해열진통소염제 (A),Group01
53300200,해열진통소염제 (A),Group01
53500180,해열진통소염제 (A),Group01
53600020,해열진통소염제 (A),Group01
55102270,해열진통소염제 (A),Group01
57000810,해열진통소염제 (A),Group01
57600580,해열진통소염제 (A),Group01
57700060,해열진통소염제 (A),Group01
58200350,해열진통소염제 (A),Group01
59000440,해열진통소염제 (A),Group01
59600280,해열진통소염제 (A),Group01
60500010,해열진통소염제 (A),Group01
73001500,해열진통소염제 (A),Group01
621801920,해열진통소염제 (A),Group01
622600420,해열진통소염제 (A),Group01
622800200,해열진통소염제 (A),Group01
623005340,해열진통소염제 (A),Group01
625200230,해열진통소염제 (A),Group01
625500270,해열진통소염제 (A),Group01
625800250,해열진통소염제 (A),Group01
628800250,해열진통소염제 (A),Group01
628900120,해열진통소염제 (A),Group01
640900550,해열진통소염제 (A),Group01
641601920,해열진통소염제 (A),Group01
641704880,해열진통소염제 (A),Group01
641802300,해열진통소염제 (A),Group01
642003290,해열진통소염제 (A),Group01
642302610,해열진통소염제 (A),Group01
642403620,해열진통소염제 (A),Group01
642502460,해열진통소염제 (A),Group01
642702240,해열진통소염제 (A),Group01
642802650,해열진통소염제 (A),Group01
643100050,해열진통소염제 (A),Group01
643202500,해열진통소염제 (A),Group01
643301260,해열진통소염제 (A),Group01
643501740,해열진통소염제 (A),Group01
643701580,해열진통소염제 (A),Group01
643903550,해열진통소염제 (A),Group01
644000990,해열진통소염제 (A),Group01
644304160,해열진통소염제 (A),Group01
644603430,해열진통소염제 (A),Group01
644703320,해열진통소염제 (A),Group01
644802230,해열진통소염제 (A),Group01
645202010,해열진통소염제 (A),Group01
645300710,해열진통소염제 (A),Group01
645403280,해열진통소염제 (A),Group01
645604400,해열진통소염제 (A),Group01
646002430,해열진통소염제 (A),Group01
646201260,해열진통소염제 (A),Group01
647200400,해열진통소염제 (A),Group01
647300800,해열진통소염제 (A),Group01
647803710,해열진통소염제 (A),Group01
648101500,해열진통소염제 (A),Group01
648203610,해열진통소염제 (A),Group01
648502580,해열진통소염제 (A),Group01
648601250,해열진통소염제 (A),Group01
649001080,해열진통소염제 (A),Group01
649102100,해열진통소염제 (A),Group01
649404530,해열진통소염제 (A),Group01
649502440,해열진통소염제 (A),Group01
649601680,해열진통소염제 (A),Group01
649701520,해열진통소염제 (A),Group01
649802300,해열진통소염제 (A),Group01
650201020,해열진통소염제 (A),Group01
650300920,해열진통소염제 (A),Group01
651201220,해열진통소염제 (A),Group01
651501060,해열진통소염제 (A),Group01
651601780,해열진통소염제 (A),Group01
652604210,해열진통소염제 (A),Group01
653001330,해열진통소염제 (A),Group01
653401660,해열진통소염제 (A),Group01
653702340,해열진통소염제 (A),Group01
653802100,해열진통소염제 (A),Group01
654001260,해열진통소염제 (A),Group01
654301800,해열진통소염제 (A),Group01
654700420,해열진통소염제 (A),Group01
655601230,해열진통소염제 (A),Group01
656000830,해열진통소염제 (A),Group01
656701110,해열진통소염제 (A),Group01
657202270,해열진통소염제 (A),Group01
657302780,해열진통소염제 (A),Group01
657502440,해열진통소염제 (A),Group01
657801040,해열진통소염제 (A),Group01
658106680,해열진통소염제 (A),Group01
658203010,해열진통소염제 (A),Group01
658600670,해열진통소염제 (A),Group01
660701380,해열진통소염제 (A),Group01
661604710,해열진통소염제 (A),Group01
661901670,해열진통소염제 (A),Group01
662501270,해열진통소염제 (A),Group01
663300870,해열진통소염제 (A),Group01
663601080,해열진통소염제 (A),Group01
663803260,해열진통소염제 (A),Group01
664102930,해열진통소염제 (A),Group01
664900360,해열진통소염제 (A),Group01
665001860,해열진통소염제 (A),Group01
665502000,해열진통소염제 (A),Group01
669500370,해열진통소염제 (A),Group01
669604450,해열진통소염제 (A),Group01
669804090,해열진통소염제 (A),Group01
669902550,해열진통소염제 (A),Group01
670101330,해열진통소염제 (A),Group01
670400900,해열진통소염제 (A),Group01
670501610,해열진통소염제 (A),Group01
670601220,해열진통소염제 (A),Group01
671700970,해열진통소염제 (A),Group01
671801920,해열진통소염제 (A),Group01
674400630,해열진통소염제 (A),Group01
678600670,해열진통소염제 (A),Group01
679601120,해열진통소염제 (A),Group01
684500990,해열진통소염제 (A),Group01
689000470,해열진통소염제 (A),Group01
693200160,해열진통소염제 (A),Group01
693900040,해열진통소염제 (A),Group01
694001000,해열진통소염제 (A),Group01
696600070,해열진통소염제 (A),Group01
697100050,해열진통소염제 (A),Group01
698000880,해열진통소염제 (A),Group01
698500220,해열진통소염제 (A),Group01
54800520,해열진통소염제 (A),Group01
73001180,해열진통소염제 (A),Group01
622804020,해열진통소염제 (A),Group01
625801060,해열진통소염제 (A),Group01
640904060,해열진통소염제 (A),Group01
641501940,해열진통소염제 (A),Group01
643104100,해열진통소염제 (A),Group01
643703580,해열진통소염제 (A),Group01
644307820,해열진통소염제 (A),Group01
645304510,해열진통소염제 (A),Group01
645905970,해열진통소염제 (A),Group01
649102870,해열진통소염제 (A),Group01
649605290,해열진통소염제 (A),Group01
650203910,해열진통소염제 (A),Group01
650303890,해열진통소염제 (A),Group01
651300680,해열진통소염제 (A),Group01
653006430,해열진통소염제 (A),Group01
653805620,해열진통소염제 (A),Group01
654304650,해열진통소염제 (A),Group01
655404510,해열진통소염제 (A),Group01
656204570,해열진통소염제 (A),Group01
657307410,해열진통소염제 (A),Group01
657806220,해열진통소염제 (A),Group01
658107280,해열진통소염제 (A),Group01
658603790,해열진통소염제 (A),Group01
659900960,해열진통소염제 (A),Group01
663608100,해열진통소염제 (A),Group01
664901750,해열진통소염제 (A),Group01
669502580,해열진통소염제 (A),Group01
669805390,해열진통소염제 (A),Group01
669906840,해열진통소염제 (A),Group01
671704970,해열진통소염제 (A),Group01
684501650,해열진통소염제 (A),Group01
696601100,해열진통소염제 (A),Group01
698400400,해열진통소염제 (A),Group01
653700510,해열진통소염제 (A),Group02
644000780,해열진통소염제 (A),Group02
653700520,해열진통소염제 (A),Group02
654200520,해열진통소염제 (A),Group02
654301440,해열진통소염제 (A),Group02
645700891,해열진통소염제 (A),Group02
672300253,해열진통소염제 (A),Group02
645702601,해열진통소염제 (A),Group02
650204491,해열진통소염제 (A),Group02
658202841,해열진통소염제 (A),Group02
645700860,해열진통소염제 (A),Group02
649601610,해열진통소염제 (A),Group02
650200360,해열진통소염제 (A),Group02
653700820,해열진통소염제 (A),Group02
670301810,해열진통소염제 (A),Group02
60500030,해열진통소염제 (A),Group02
643100290,해열진통소염제 (A),Group02
645700870,해열진통소염제 (A),Group02
649602220,해열진통소염제 (A),Group02
650205710,해열진통소염제 (A),Group02
653700830,해열진통소염제 (A),Group02
653801880,해열진통소염제 (A),Group02
655403770,해열진통소염제 (A),Group02
670301820,해열진통소염제 (A),Group02
670601430,해열진통소염제 (A),Group02
671803310,해열진통소염제 (A),Group02
642204320,해열진통소염제 (A),Group02
645700880,해열진통소염제 (A),Group02
622803650,해열진통소염제 (A),Group02
628801440,해열진통소염제 (A),Group02
642202200,해열진통소염제 (A),Group02
643306670,해열진통소염제 (A),Group02
643501510,해열진통소염제 (A),Group02
645301160,해열진통소염제 (A),Group02
645700850,해열진통소염제 (A),Group02
649602230,해열진통소염제 (A),Group02
650205720,해열진통소염제 (A),Group02
652901880,해열진통소염제 (A),Group02
657308190,해열진통소염제 (A),Group02
657801970,해열진통소염제 (A),Group02
661901710,해열진통소염제 (A),Group02
665002340,해열진통소염제 (A),Group02
670301800,해열진통소염제 (A),Group02
670501910,해열진통소염제 (A),Group02
672300240,해열진통소염제 (A),Group02
693201820,해열진통소염제 (A),Group02
698003380,해열진통소염제 (A),Group02
57000190,호흡기관용약 (G),Group07
646001100,호흡기관용약 (G),Group07
651600290,호흡기관용약 (G),Group07
670301790,호흡기관용약 (G),Group07
52400770,호흡기관용약 (G),Group07
54800750,호흡기관용약 (G),Group07
55100740,호흡기관용약 (G),Group07
57000200,호흡기관용약 (G),Group07
57700010,호흡기관용약 (G),Group07
59000420,호흡기관용약 (G),Group07
625200980,호흡기관용약 (G),Group07
628800030,호흡기관용약 (G),Group07
629700060,호흡기관용약 (G),Group07
641704930,호흡기관용약 (G),Group07
641802120,호흡기관용약 (G),Group07
642902600,호흡기관용약 (G),Group07
643100430,호흡기관용약 (G),Group07
643200680,호흡기관용약 (G),Group07
643501030,호흡기관용약 (G),Group07
644003410,호흡기관용약 (G),Group07
644301260,호흡기관용약 (G),Group07
644603260,호흡기관용약 (G),Group07
645901880,호흡기관용약 (G),Group07
646001150,호흡기관용약 (G),Group07
646203500,호흡기관용약 (G),Group07
647203860,호흡기관용약 (G),Group07
647303330,호흡기관용약 (G),Group07
648200680,호흡기관용약 (G),Group07
648601410,호흡기관용약 (G),Group07
649001940,호흡기관용약 (G),Group07
649100280,호흡기관용약 (G),Group07
649701980,호흡기관용약 (G),Group07
651201050,호흡기관용약 (G),Group07
651600300,호흡기관용약 (G),Group07
651901380,호흡기관용약 (G),Group07
652300320,호흡기관용약 (G),Group07
652603640,호흡기관용약 (G),Group07
652900940,호흡기관용약 (G),Group07
653700870,호흡기관용약 (G),Group07
654200450,호흡기관용약 (G),Group07
654304730,호흡기관용약 (G),Group07
654701610,호흡기관용약 (G),Group07
665001950,호흡기관용약 (G),Group07
665507540,호흡기관용약 (G),Group07
669801170,호흡기관용약 (G),Group07
669901590,호흡기관용약 (G),Group07
670100940,호흡기관용약 (G),Group07
670301780,호흡기관용약 (G),Group07
670400730,호흡기관용약 (G),Group07
670500770,호흡기관용약 (G),Group07
671702770,호흡기관용약 (G),Group07
674401420,호흡기관용약 (G),Group07
678600650,호흡기관용약 (G),Group07
689001290,호흡기관용약 (G),Group07
690302400,호흡기관용약 (G),Group07
693201090,호흡기관용약 (G),Group07
693900030,호흡기관용약 (G),Group07
694003020,호흡기관용약 (G),Group07
696600990,호흡기관용약 (G),Group07
698501880,호흡기관용약 (G),Group07
670103800,호흡기관용약 (G),Group07
651600231,호흡기관용약 (G),Group07
646001131,호흡기관용약 (G),Group07
651600261,호흡기관용약 (G),Group07
651901371,호흡기관용약 (G),Group07
646001141,호흡기관용약 (G),Group07
651600271,호흡기관용약 (G),Group07
651904881,호흡기관용약 (G),Group07
651600281,호흡기관용약 (G),Group07
652900911,호흡기관용약 (G),Group07
670303513,호흡기관용약 (G),Group07
643104091,호흡기관용약 (G),Group07
652903791,호흡기관용약 (G),Group07
670100932,호흡기관용약 (G),Group07
670500781,호흡기관용약 (G),Group07
696601011,호흡기관용약 (G),Group07
628901141,호흡기관용약 (G),Group07
651600235,호흡기관용약 (G),Group07
670303991,호흡기관용약 (G),Group07
641907841,호흡기관용약 (G),Group07
654005961,호흡기관용약 (G),Group07
642901790,지질저하제 (C),Group02
642201140,혈압강하작용의약품 (B),Group09
642201150,혈압강하작용의약품 (B),Group09
657802511,마약류 아편유사제 (E),Group01
651901760,정신신경용제 (F),Group10
73400470,정신신경용제 (F),Group10
641802680,정신신경용제 (F),Group10
645302630,정신신경용제 (F),Group10
646002040,정신신경용제 (F),Group10
649501400,정신신경용제 (F),Group10
649806790,정신신경용제 (F),Group10
651901730,정신신경용제 (F),Group10
653001570,정신신경용제 (F),Group10
657200470,정신신경용제 (F),Group10
657807870,정신신경용제 (F),Group10
651901740,정신신경용제 (F),Group10
657200480,정신신경용제 (F),Group10
73400460,정신신경용제 (F),Group10
641802670,정신신경용제 (F),Group10
645303420,정신신경용제 (F),Group10
649501420,정신신경용제 (F),Group10
649806800,정신신경용제 (F),Group10
651901750,정신신경용제 (F),Group10
653001580,정신신경용제 (F),Group10
657200490,정신신경용제 (F),Group10
657807880,정신신경용제 (F),Group10
651904650,정신신경용제 (F),Group10
657203960,정신신경용제 (F),Group10
57001130,호흡기관용약 (G),Group07
74200050,호흡기관용약 (G),Group07
621801790,호흡기관용약 (G),Group07
628800420,호흡기관용약 (G),Group07
628900110,호흡기관용약 (G),Group07
642702430,호흡기관용약 (G),Group07
644602770,호흡기관용약 (G),Group07
644806170,호흡기관용약 (G),Group07
645700320,호흡기관용약 (G),Group07
648500570,호흡기관용약 (G),Group07
649100710,호흡기관용약 (G),Group07
649401870,호흡기관용약 (G),Group07
653101180,호흡기관용약 (G),Group07
653700800,호흡기관용약 (G),Group07
654302270,호흡기관용약 (G),Group07
662500310,호흡기관용약 (G),Group07
669800720,호흡기관용약 (G),Group07
670103550,호흡기관용약 (G),Group07
698500140,호흡기관용약 (G),Group07
59000591,호흡기관용약 (G),Group07
629701141,호흡기관용약 (G),Group07
642901761,호흡기관용약 (G),Group07
645900881,호흡기관용약 (G),Group07
648102341,호흡기관용약 (G),Group07
648500581,호흡기관용약 (G),Group07
649801361,호흡기관용약 (G),Group07
653101191,호흡기관용약 (G),Group07
654001341,호흡기관용약 (G),Group07
665503021,호흡기관용약 (G),Group07
670603576,호흡기관용약 (G),Group07
671800081,호흡기관용약 (G),Group07
658600371,호흡기관용약 (G),Group07
670101023,호흡기관용약 (G),Group07
698500682,호흡기관용약 (G),Group07
646800920,혈압강하작용의약품 (B),Group02
671800510,호흡기관용약 (G),Group04
645904620,호흡기관용약 (G),Group04
645905110,호흡기관용약 (G),Group04
645100721,호흡기관용약 (G),Group04
650500411,호흡기관용약 (G),Group04
670603261,호흡기관용약 (G),Group04
671800521,호흡기관용약 (G),Group04
642702510,정신신경용제 (F),Group12
651900720,정신신경용제 (F),Group12
657200500,정신신경용제 (F),Group12
642702520,정신신경용제 (F),Group12
657202640,정신신경용제 (F),Group12
52400890,혈압강하작용의약품 (B),Group07
52700440,혈압강하작용의약품 (B),Group07
53300540,혈압강하작용의약품 (B),Group07
53600290,혈압강하작용의약품 (B),Group07
57600140,혈압강하작용의약품 (B),Group07
57700390,혈압강하작용의약품 (B),Group07
58200330,혈압강하작용의약품 (B),Group07
58800630,혈압강하작용의약품 (B),Group07
59000700,혈압강하작용의약품 (B),Group07
59600310,혈압강하작용의약품 (B),Group07
73001520,혈압강하작용의약품 (B),Group07
73400360,혈압강하작용의약품 (B),Group07
621802320,혈압강하작용의약품 (B),Group07
622802160,혈압강하작용의약품 (B),Group07
623005260,혈압강하작용의약품 (B),Group07
625200430,혈압강하작용의약품 (B),Group07
625500150,혈압강하작용의약품 (B),Group07
625800360,혈압강하작용의약품 (B),Group07
628800280,혈압강하작용의약품 (B),Group07
628900880,혈압강하작용의약품 (B),Group07
629701030,혈압강하작용의약품 (B),Group07
640902480,혈압강하작용의약품 (B),Group07
642000380,혈압강하작용의약품 (B),Group07
642203460,혈압강하작용의약품 (B),Group07
642307000,혈압강하작용의약품 (B),Group07
642403900,혈압강하작용의약품 (B),Group07
642700450,혈압강하작용의약품 (B),Group07
643103760,혈압강하작용의약품 (B),Group07
643203110,혈압강하작용의약품 (B),Group07
643700600,혈압강하작용의약품 (B),Group07
644003440,혈압강하작용의약품 (B),Group07
644305890,혈압강하작용의약품 (B),Group07
644603680,혈압강하작용의약품 (B),Group07
644704710,혈압강하작용의약품 (B),Group07
644805990,혈압강하작용의약품 (B),Group07
645209320,혈압강하작용의약품 (B),Group07
646004140,혈압강하작용의약품 (B),Group07
646203620,혈압강하작용의약품 (B),Group07
647203740,혈압강하작용의약품 (B),Group07
647302690,혈압강하작용의약품 (B),Group07
648500920,혈압강하작용의약품 (B),Group07
648602690,혈압강하작용의약품 (B),Group07
649001500,혈압강하작용의약품 (B),Group07
649102600,혈압강하작용의약품 (B),Group07
649507480,혈압강하작용의약품 (B),Group07
649702220,혈압강하작용의약품 (B),Group07
649805060,혈압강하작용의약품 (B),Group07
650300630,혈압강하작용의약품 (B),Group07
652903340,혈압강하작용의약품 (B),Group07
653100450,혈압강하작용의약품 (B),Group07
653402080,혈압강하작용의약품 (B),Group07
653602550,혈압강하작용의약품 (B),Group07
653800900,혈압강하작용의약품 (B),Group07
654000950,혈압강하작용의약품 (B),Group07
654304860,혈압강하작용의약품 (B),Group07
654700040,혈압강하작용의약품 (B),Group07
656003690,혈압강하작용의약품 (B),Group07
656204860,혈압강하작용의약품 (B),Group07
656701980,혈압강하작용의약품 (B),Group07
657502450,혈압강하작용의약품 (B),Group07
657804700,혈압강하작용의약품 (B),Group07
658106350,혈압강하작용의약품 (B),Group07
658501750,혈압강하작용의약품 (B),Group07
660702550,혈압강하작용의약품 (B),Group07
661604620,혈압강하작용의약품 (B),Group07
661904100,혈압강하작용의약품 (B),Group07
663605760,혈압강하작용의약품 (B),Group07
664602610,혈압강하작용의약품 (B),Group07
664900020,혈압강하작용의약품 (B),Group07
665001070,혈압강하작용의약품 (B),Group07
669501610,혈압강하작용의약품 (B),Group07
669604690,혈압강하작용의약품 (B),Group07
669700150,혈압강하작용의약품 (B),Group07
669804440,혈압강하작용의약품 (B),Group07
669906560,혈압강하작용의약품 (B),Group07
670303730,혈압강하작용의약품 (B),Group07
670501250,혈압강하작용의약품 (B),Group07
670607180,혈압강하작용의약품 (B),Group07
671704430,혈압강하작용의약품 (B),Group07
674100730,혈압강하작용의약품 (B),Group07
674401210,혈압강하작용의약품 (B),Group07
678600930,혈압강하작용의약품 (B),Group07
679601110,혈압강하작용의약품 (B),Group07
679800750,혈압강하작용의약품 (B),Group07
684501240,혈압강하작용의약품 (B),Group07
689000210,혈압강하작용의약품 (B),Group07
